city,state,Correction,Census_Name,State
West Palm Beach,FL,Correction needed,West Palm Beach city, Florida
Aguanga,CA,Correction needed,Aguanga CDP, California
Columbia,MD,Correction needed,Columbia CDP, Maryland
Lisle,IL,No close match found,,
Cato Township,MI,No close match found,,
Pinion Hills,CA,Correction needed,Indio Hills CDP, California
Old Saybrook,CT,No close match found,,
Beverly,MA,Correction needed,Beverly city, Massachusetts
West Odessa,TX,Correction needed,West Odessa CDP, Texas
Taylors,SC,Correction needed,Taylors CDP, South Carolina
Lakes Charles,LA,Correction needed,Lake Charles city, Louisiana
Brookhaven,MS,Correction needed,Brookhaven city, Mississippi
Lawton,OK,Correction needed,Lawton city, Oklahoma
Monroeville,AL,Correction needed,Monroeville city, Alabama
Seaside,CA,Correction needed,Seaside city, California
Indio,CA,No close match found,,
Naples,FL,Correction needed,Naples city, Florida
Cartersville,GA,Correction needed,Cartersville city, Georgia
Kirkland,WA,Correction needed,Kirkland city, Washington
Parma,OH,No close match found,,
Columbus,MS,Correction needed,Columbus city, Mississippi
Barrow County,GA,No close match found,,
Valinda,CA,Correction needed,Valinda CDP, California
York,PA,No close match found,,
Modesto,CA,Correction needed,Modesto city, California
Palm Beach Gardens,FL,Correction needed,Palm Beach Gardens city, Florida
Cedar Rapids,IA,Correction needed,Cedar Rapids city, Iowa
Mandeville,LA,Correction needed,Mandeville city, Louisiana
Truth or Consequences,NM,Correction needed,Truth or Consequences city, New Mexico
Kentwood,MI,Correction needed,Kentwood city, Michigan
West Goshen,CA,Correction needed,West Goshen CDP, California
Calexico,CA,Correction needed,Calexico city, California
Pine Top,KY,No close match found,,
Carmichael,CA,Correction needed,Carmichael CDP, California
New Paltz,NY,No close match found,,
Kenai Peninsula,AK,No close match found,,
Paddock Lake,WI,Correction needed,Paddock Lake village, Wisconsin
Zanesville,OH,Correction needed,Zanesville city, Ohio
Cathedral City,CA,Correction needed,Cathedral City city, California
Cape Coral,FL,Correction needed,Cape Coral city, Florida
Highgrove,CA,Correction needed,Highgrove CDP, California
Talking Rock,GA,Correction needed,Talking Rock town, Georgia
Tampa,FL,No close match found,,
Frederick,MD,Correction needed,Frederick city, Maryland
Savannah,GA,Correction needed,Savannah city, Georgia
Salem,OR,No close match found,,
Smithville,MS,Correction needed,Smithville town, Mississippi
Point Loma,CA,No close match found,,
Old Town,FL,Correction needed,Oakland town, Florida
Hohenwald,TN,Correction needed,Hohenwald city, Tennessee
Norwood,OK,Correction needed,Norwood CDP, Oklahoma
Mesquite,TX,Correction needed,Mesquite CDP, Texas
Burkesville,KY,Correction needed,Burkesville city, Kentucky
Opelika,AL,Correction needed,Opelika city, Alabama
Colorado Springs,CO,Correction needed,Colorado Springs city, Colorado
Council,ID,Correction needed,Council city, Idaho
Eureka,CA,Correction needed,Eureka city, California
Hutchinson,MN,Correction needed,Hutchinson city, Minnesota
Marksville,LA,Correction needed,Marksville city, Louisiana
Pacific Beach,CA,No close match found,,
Merced,CA,Correction needed,Merced city, California
Goose Creek,SC,Correction needed,Goose Creek city, South Carolina
Lakeshire,MO,Correction needed,Lakeshire city, Missouri
Hominy,OK,Correction needed,Hominy city, Oklahoma
Wadesboro,NC,Correction needed,Wadesboro town, North Carolina
Braxton County,WV,No close match found,,
North Laredo,TX,No close match found,,
Dillon,MT,Correction needed,Dillon city, Montana
Brighton,CO,Correction needed,Brighton city, Colorado
Chico,CA,No close match found,,
Aiken,SC,No close match found,,
Eden,GA,No close match found,,
Jurupa Valley,CA,Correction needed,Jurupa Valley city, California
Gibson County,TN,Correction needed,Gibson town, Tennessee
Minneapolis,MN,Correction needed,Minneapolis city, Minnesota
Germantown,PA,No close match found,,
Spring Lake,NC,Correction needed,Spring Lake town, North Carolina
Leon County,TX,No close match found,,
Whitfield County,GA,No close match found,,
Little Egg Harbor,NJ,No close match found,,
Arlington,GA,Correction needed,Arlington city, Georgia
Cayce,SC,No close match found,,
Benton Township,MI,No close match found,,
Opa-Locka,FL,Correction needed,Opa-locka city, Florida
Manatee,FL,No close match found,,
Paulding County,GA,No close match found,,
Colbert,OK,Correction needed,Colbert town, Oklahoma
Reno,NV,No close match found,,
Corpus Christi,TX,Correction needed,Corpus Christi city, Texas
Columbia Heights,MN,Correction needed,Columbia Heights city, Minnesota
Ozark,MO,No close match found,,
Lampe,MO,No close match found,,
Seagoville,TX,Correction needed,Seagoville city, Texas
Maysville,MO,Correction needed,Maysville city, Missouri
Celina,OH,Correction needed,Celina city, Ohio
Wink,TX,No close match found,,
Norwalk,CA,Correction needed,Norwalk city, California
Bangor,ME,Correction needed,Bangor city, Maine
Deming,NM,Correction needed,Deming city, New Mexico
Big Springs,NE,Correction needed,Big Springs village, Nebraska
Mount Washington,PA,Correction needed,Fort Washington CDP, Pennsylvania
Neenah,WI,Correction needed,Neenah city, Wisconsin
Irving,TX,Correction needed,Irving city, Texas
Laramie,WY,Correction needed,Laramie city, Wyoming
Richmond Heights,OH,Correction needed,Richmond Heights city, Ohio
Yonkers,NY,Correction needed,Yonkers city, New York
Pryor,OK,No close match found,,
Leitchfield,KY,Correction needed,Leitchfield city, Kentucky
Marina,CA,Correction needed,Marina city, California
East Stroudsburg,PA,Correction needed,East Stroudsburg borough, Pennsylvania
Healdton,OK,Correction needed,Healdton city, Oklahoma
Lynwood,CA,Correction needed,Lynwood city, California
Mountain View,CO,Correction needed,Mountain View town, Colorado
Olympia,WA,Correction needed,Olympia city, Washington
Denton,TX,Correction needed,Dennis town, Texas
Mount Hope,WV,Correction needed,Mount Hope city, West Virginia
Gilroy,CA,Correction needed,Gilroy city, California
Humboldt,TN,Correction needed,Humboldt city, Tennessee
Middle River,MD,Correction needed,Middle River CDP, Maryland
Dallas,NC,Correction needed,Dallas town, North Carolina
Camarillo,CA,Correction needed,Camarillo city, California
Kent,OH,No close match found,,
Taos,NM,No close match found,,
Knoxville,TN,Correction needed,Knoxville city, Tennessee
Northwood,OH,Correction needed,Northwood city, Ohio
Palmdale,CA,Correction needed,Palmdale city, California
Smartsville,CA,Correction needed,Smartsville CDP, California
Canaan Township,PA,No close match found,,
Breaux Bridge,LA,Correction needed,Breaux Bridge city, Louisiana
Douglasville,GA,Correction needed,Douglasville city, Georgia
Brooksville,FL,Correction needed,Brooksville city, Florida
Burlington,VT,Correction needed,Burlington city, Vermont
Ludlow,KY,Correction needed,Ludlow city, Kentucky
Dearborn,MI,Correction needed,Dearborn city, Michigan
Porterville,CA,Correction needed,Porterville city, California
Lansing,MI,Correction needed,Lansing city, Michigan
Pride,LA,No close match found,,
Winnsboro,LA,Correction needed,Winnsboro city, Louisiana
Palo Alto,CA,Correction needed,Palo Alto city, California
Homedale,ID,Correction needed,Homedale city, Idaho
Franklin,LA,Correction needed,Franklin city, Louisiana
Lucedale,MS,Correction needed,Lucedale city, Mississippi
Suffolk,VA,Correction needed,Suffolk city, Virginia
Rosemead,CA,Correction needed,Rosemead city, California
Santa Nella,CA,Correction needed,Santa Nella CDP, California
Rawlins,WY,Correction needed,Rawlins city, Wyoming
Sioux Falls,SD,Correction needed,Sioux Falls city, South Dakota
Maryneal,TX,No close match found,,
Livingston,MT,Correction needed,Livingston city, Montana
Ragley,LA,No close match found,,
Upper Darby,PA,No close match found,,
Ceres,CA,No close match found,,
Redding,CA,Correction needed,Redding city, California
Johnson City,TN,Correction needed,Johnson City city, Tennessee
Tumwater,WA,Correction needed,Tumwater city, Washington
Daviess County,KY,No close match found,,
Carrizozo,NM,Correction needed,Carrizozo town, New Mexico
Acworth,GA,Correction needed,Acworth city, Georgia
Geneva,WI,No close match found,,
Rising Sun,MD,Correction needed,Rising Sun town, Maryland
Kelso,WA,No close match found,,
Penn Township,PA,No close match found,,
San Fernando,CA,Correction needed,San Fernando city, California
Norfolk,VA,Correction needed,Norfolk city, Virginia
Spenard,AK,No close match found,,
Cle Elum,WA,Correction needed,Cle Elum city, Washington
Sevierville,TN,Correction needed,Sevierville city, Tennessee
Santa Clarita,CA,Correction needed,Santa Clarita city, California
Hurst,IL,No close match found,,
Southfield,MI,Correction needed,Southfield city, Michigan
Elkins,WV,Correction needed,Elkins city, West Virginia
Belle Glade,FL,Correction needed,Belle Glade city, Florida
Petroleum,WV,No close match found,,
El Cajon,CA,Correction needed,El Cajon city, California
Hollywood Hills,CA,No close match found,,
Rainbow City,AL,Correction needed,Rainbow City city, Alabama
North Hills,CA,No close match found,,
Union City,CA,Correction needed,Ione city, California
Statesville,NC,Correction needed,Statesville city, North Carolina
Meridianville,AL,Correction needed,Meridianville CDP, Alabama
Port Barre,LA,Correction needed,Port Barre town, Louisiana
Eufaula,OK,Correction needed,Eufaula city, Oklahoma
Burns,OR,No close match found,,
Cobb County,GA,No close match found,,
Mansfield,TX,Correction needed,Mansfield city, Texas
Lenoir City,TN,Correction needed,Lenoir City city, Tennessee
Latta,SC,No close match found,,
Mountain Pine,AR,Correction needed,Mountain Pine city, Arkansas
Clackamas County,OR,No close match found,,
Phenix City,AL,Correction needed,Phenix City city, Alabama
Newark,CA,Correction needed,Newark city, California
Saginaw,TX,Correction needed,Saginaw city, Texas
Immokalee,FL,Correction needed,Immokalee CDP, Florida
Wilkinsburg,PA,Correction needed,Wilkinsburg borough, Pennsylvania
Rancho Cordova,CA,Correction needed,Rancho Cordova city, California
Rosebud,SD,Correction needed,Rosebud CDP, South Dakota
Ocala,FL,No close match found,,
Schulter,OK,Correction needed,Schulter town, Oklahoma
Perry Township,OH,No close match found,,
Seaside,OR,Correction needed,Seaside city, Oregon
Union Grove,NC,No close match found,,
Milton,FL,Correction needed,Milton city, Florida
Hilo,HI,No close match found,,
Manchester,NJ,No close match found,,
Austin,AR,Correction needed,Austin city, Arkansas
Henderson County,TX,Correction needed,Henderson city, Texas
Roseville,MN,Correction needed,Roseville city, Minnesota
Barrow,AK,No close match found,,
Abingdon,MD,Correction needed,Abingdon CDP, Maryland
Riverdale,GA,Correction needed,Riverdale city, Georgia
Maiden,NC,Correction needed,Maiden town, North Carolina
Syracuse,NY,Correction needed,Syracuse city, New York
Arvonia,VA,No close match found,,
Beckville,TX,Correction needed,Beckville city, Texas
Urbandale,IA,Correction needed,Urbandale city, Iowa
Bradenton,FL,Correction needed,Bradenton city, Florida
Jal,NM,No close match found,,
Yorba Linda,CA,Correction needed,Yorba Linda city, California
Mena,AR,No close match found,,
Republic,MO,Correction needed,Republic city, Missouri
Fairfield,CT,No close match found,,
Reno,TX,No close match found,,
Commerce,GA,Correction needed,Commerce city, Georgia
Elizabethton,TN,Correction needed,Elizabethton city, Tennessee
Ogden,UT,No close match found,,
Houston,AK,Correction needed,Houston city, Alaska
Inglewood,CA,Correction needed,Inglewood city, California
Fairborn,OH,Correction needed,Fairborn city, Ohio
Ripon,CA,No close match found,,
East Troy,WI,No close match found,,
Bailey,CO,No close match found,,
Blue Springs,MO,Correction needed,Blue Springs city, Missouri
Hesston,KS,Correction needed,Hesston city, Kansas
Montgomery,AL,Correction needed,Montgomery city, Alabama
Rapid Valley,SD,Correction needed,Rapid Valley CDP, South Dakota
Roanoke,VA,Correction needed,Roanoke city, Virginia
Ashville,AL,Correction needed,Ashville city, Alabama
Raleigh,NC,Correction needed,Raleigh city, North Carolina
Gautier,MS,Correction needed,Gautier city, Mississippi
Johnstown,PA,Correction needed,Johnstown city, Pennsylvania
Bel Air,MD,Correction needed,Bel Air CDP, Maryland
East Bernstadt,KY,Correction needed,East Bernstadt CDP, Kentucky
Sims,AR,No close match found,,
Beaumont,TX,Correction needed,Beaumont city, Texas
Cheektowaga,NY,Correction needed,Cheektowaga CDP, New York
Bismarck,ND,Correction needed,Bismarck city, North Dakota
Carlsbad,NM,Correction needed,Carlsbad city, New Mexico
Rochester,NY,Correction needed,Rochester city, New York
Colorado City,CO,Correction needed,Colorado City CDP, Colorado
Biloxi,MS,Correction needed,Biloxi city, Mississippi
Clinton,IL,Correction needed,Clinton city, Illinois
Rosalia,KS,Correction needed,Rosalia CDP, Kansas
Greensboro,NC,Correction needed,Greensboro city, North Carolina
Vancouver,WA,Correction needed,Vancouver city, Washington
Piedmont,AL,Correction needed,Piedmont city, Alabama
Addison,TX,Correction needed,Addison town, Texas
Glendale,CA,Correction needed,Glendale city, California
Evansville,IN,Correction needed,Evansville city, Indiana
Russellville,KY,Correction needed,Russellville city, Kentucky
Anson County,NC,No close match found,,
Florence,CA,No close match found,,
Burnsville,MN,Correction needed,Burnsville city, Minnesota
Idaho Falls,ID,Correction needed,Idaho Falls city, Idaho
Byron,CA,Correction needed,Byron CDP, California
White Plains,KY,Correction needed,White Plains city, Kentucky
Covington,LA,Correction needed,Covington city, Louisiana
Gainesville,FL,Correction needed,Gainesville city, Florida
Fort Littleton,PA,No close match found,,
Hopewell,VA,Correction needed,Hopewell city, Virginia
South Greensburg,PA,Correction needed,South Greensburg borough, Pennsylvania
Stamford,CT,Correction needed,Stamford city, Connecticut
Fredericksburg,VA,Correction needed,Fredericksburg city, Virginia
Raleigh,TN,No close match found,,
Thornton,CO,Correction needed,Thornton city, Colorado
Pueblo of Laguna,NM,No close match found,,
Redlands,CA,Correction needed,Redlands city, California
Pawtucket,RI,Correction needed,Pawtucket city, Rhode Island
Braintree,MA,No close match found,,
Grundy,VA,Correction needed,Grundy town, Virginia
Lowell,MA,Correction needed,Lowell city, Massachusetts
Splendora,TX,Correction needed,Splendora city, Texas
Kinston,NC,Correction needed,Kinston city, North Carolina
Winslow,AZ,Correction needed,Winslow city, Arizona
Lee's Summit,MO,Correction needed,Lee's Summit city, Missouri
Aitkin,MN,Correction needed,Aitkin city, Minnesota
Piedmont,SC,Correction needed,Piedmont CDP, South Carolina
Clearlake Park,CA,Correction needed,Clearlake city, California
Jackson,GA,Correction needed,Jackson city, Georgia
Lockhart,TX,Correction needed,Lockhart city, Texas
Raceland,LA,Correction needed,Raceland CDP, Louisiana
Eau Claire,WI,Correction needed,Eau Claire city, Wisconsin
Macon County,AL,No close match found,,
West Springfield,MA,Correction needed,West Springfield Town city, Massachusetts
Gallatin,TN,Correction needed,Gallatin city, Tennessee
Oak Hill,OH,No close match found,,
Lake Hallie,WI,Correction needed,Lake Hallie village, Wisconsin
New Brunswick,NJ,Correction needed,New Brunswick city, New Jersey
